time,value
1531353600,6394.930179999999
1531357200,6382.70996
1531360800,6356.4502
1531364400,6360.8598600000005
1531368000,6362.3901399999995
1531371600,6348.41992
1531375200,6345.240229999999
1531378800,6233.45996
1531382400,6208.6499
1531386000,6214.47998
1531389600,6196.1098600000005
1531393200,6191.3901399999995
1531396800,6199.5498
1531400400,6196.08984
1531404000,6200.22998
1531407600,6191.3901399999995
1531411200,6205.72998
1531414800,6201.8598600000005
1531418400,6198.259770000001
1531422000,6188.180179999999
1531425600,6192.990229999999
1531429200,6185.31006
1531432800,6182.180179999999
1531436400,6270.29004
1531440000,6285.47998
1531443600,6257.81006
1531447200,6263.2002
1531450800,6257.1298799999995
1531454400,6267.52979
1531458000,6263.1001
1531461600,6262.0
1531465200,6259.069820000001
1531468800,6262.3701200000005
1531472400,6259.72021
1531476000,6259.22998
1531479600,6264.52979
1531483200,6297.6298799999995
1531486800,6286.97998
1531490400,6275.0498
1531494000,6277.8598600000005
1531497600,6287.75
1531501200,6284.740229999999
1531504800,6349.20996
1531508400,6255.66016
1531512000,6224.6098600000005
1531515600,6240.1499
1531519200,6233.9502
1531522800,6255.4502
1531526400,6282.41016
1531530000,6288.43994
1531533600,6254.1401399999995
1531537200,6246.18994
1531540800,6236.6401399999995
1531544400,6241.8798799999995
1531548000,6238.97998
1531551600,6238.3598600000005
1531555200,6232.91016
1531558800,6232.2002
1531562400,6228.2998
1531566000,6253.97998
1531569600,6259.7002
1531573200,6246.930179999999
1531576800,6256.1499
1531580400,6253.259770000001
1531584000,6277.6001
1531587600,6278.79004
1531591200,6300.02979
1531594800,6284.31006
1531598400,6332.45996
1531602000,6297.8798799999995
1531605600,6291.680179999999
1531609200,6280.66016
1531612800,6275.509770000001
1531616400,6264.47998
1531620000,6266.8999
1531623600,6271.58008
1531627200,6294.66016
1531630800,6298.759770000001
1531634400,6305.069820000001
1531638000,6300.16992
1531641600,6358.54004
1531645200,6344.930179999999
1531648800,6394.66992
1531652400,6374.77002
1531656000,6366.6201200000005
1531659600,6370.1298799999995
1531663200,6377.16992
1531666800,6397.0
1531670400,6401.5
1531674000,6398.97998
1531677600,6394.8798799999995
1531681200,6389.43994
1531684800,6393.6098600000005
1531688400,6398.1401399999995
1531692000,6396.97021
1531695600,6388.18994
1531699200,6390.45996
1531702800,6372.41016
1531706400,6374.490229999999
1531710000,6384.6499
1531713600,6378.22998
1531717200,6386.930179999999
1531720800,6395.25
1531724400,6384.6098600000005
1531728000,6413.77979
1531731600,6544.3901399999995
1531735200,6564.1201200000005
1531738800,6670.490229999999
1531742400,6645.25
1531746000,6630.259770000001
1531749600,6641.3901399999995
1531753200,6658.1499
1531756800,6659.1401399999995
1531760400,6720.06006
1531764000,6709.3598600000005
1531767600,6696.759770000001
1531771200,6691.509770000001
1531774800,6682.8598600000005
1531778400,6702.490229999999
1531782000,6761.839840000001
1531785600,6760.490229999999
1531789200,6758.58008
1531792800,6747.759770000001
1531796400,6757.589840000001
1531800000,6766.66992
1531803600,6728.39014
1531807200,6705.02979
1531810800,6711.8701200000005
1531814400,6746.959959999999
1531818000,6732.22998
1531821600,6733.2797900000005
1531825200,6738.569820000001
1531828800,6723.47998
1531832400,6719.39014
1531836000,6758.430179999999
1531839600,6805.6001
1531843200,6797.339840000001
1531846800,7250.2998
1531850400,7476.240229999999
1531854000,7383.339840000001
1531857600,7335.990229999999
1531861200,7391.2998
1531864800,7382.540040000001
1531868400,7343.0
1531872000,7377.91992
1531875600,7360.339840000001
1531879200,7442.930179999999
1531882800,7553.08008
1531886400,7480.22998
1531890000,7479.240229999999
1531893600,7481.97998
1531897200,7476.47998
1531900800,7443.8798799999995
1531904400,7402.410159999999
1531908000,7431.790040000001
1531911600,7436.52002
1531915200,7475.0498
1531918800,7465.709959999999
1531922400,7527.430179999999
1531926000,7452.8701200000005
1531929600,7456.540040000001
1531933200,7515.8701200000005
1531936800,7590.6499
1531940400,7444.1001
1531944000,7401.040040000001
1531947600,7363.959959999999
1531951200,7385.41992
1531954800,7393.18994
1531958400,7385.790040000001
1531962000,7352.3999
1531965600,7344.08008
1531969200,7357.259770000001
1531972800,7354.1298799999995
1531976400,7340.27002
1531980000,7366.1499
1531983600,7351.18994
1531987200,7340.7002
1531990800,7425.22998
1531994400,7426.1001
1531998000,7435.68994
1532001600,7449.1298799999995
1532005200,7515.680179999999
1532008800,7487.709959999999
1532012400,7482.3501
1532016000,7421.18994
1532019600,7435.9502
1532023200,7454.7202099999995
1532026800,7493.08008
1532030400,7487.8798799999995
1532034000,7467.209959999999
1532037600,7563.7002
1532041200,7508.41992
1532044800,7480.18994
1532048400,7464.540040000001
1532052000,7475.2998
1532055600,7468.5498
1532059200,7466.509770000001
1532062800,7458.740229999999
1532066400,7434.089840000001
1532070000,7449.7202099999995
1532073600,7500.319820000001
1532077200,7483.83008
1532080800,7472.35986
1532084400,7517.2002
1532088000,7511.43994
1532091600,7477.1201200000005
1532095200,7492.009770000001
1532098800,7514.3701200000005
1532102400,7676.5498
1532106000,7493.93994
1532109600,7390.180179999999
1532113200,7380.2797900000005
1532116800,7372.8501
1532120400,7370.93994
1532124000,7370.680179999999
1532127600,7359.259770000001
1532131200,7333.930179999999
1532134800,7265.540040000001
1532138400,7298.58008
1532142000,7290.2202099999995
1532145600,7299.43994
1532149200,7327.75
1532152800,7353.4502
1532156400,7344.22998
1532160000,7330.819820000001
1532163600,7337.06006
1532167200,7327.240229999999
1532170800,7321.77002
1532174400,7348.33008
1532178000,7367.89014
1532181600,7379.3701200000005
1532185200,7412.2797900000005
1532188800,7423.14014
1532192400,7419.4502
1532196000,7441.290040000001
1532199600,7441.85986
1532203200,7453.069820000001
1532206800,7425.18994
1532210400,7423.569820000001
1532214000,7425.47998
1532217600,7439.180179999999
1532221200,7474.509770000001
1532224800,7475.39014
1532228400,7429.709959999999
1532232000,7418.0498
1532235600,7409.680179999999
1532239200,7407.8999
1532242800,7399.930179999999
1532246400,7451.81006
1532250000,7450.089840000001
1532253600,7457.319820000001
1532257200,7467.5
1532260800,7455.3999
1532264400,7478.2998
1532268000,7504.3701200000005
1532271600,7543.7797900000005
1532275200,7533.089840000001
1532278800,7515.41992
1532282400,7526.89014
1532286000,7527.930179999999
1532289600,7536.9702099999995
1532293200,7569.2797900000005
1532296800,7421.490229999999
1532300400,7409.81006
1532304000,7472.2202099999995
1532307600,7515.180179999999
1532311200,7665.77002
1532314800,7651.0
1532318400,7704.81006
1532322000,7671.9702099999995
1532325600,7702.6499
1532329200,7787.2202099999995
1532332800,7752.89014
1532336400,7714.8798799999995
1532340000,7713.8501
1532343600,7707.819820000001
1532347200,7710.509770000001
1532350800,7728.8501
1532354400,7717.8501
1532358000,7743.589840000001
1532361600,7737.6201200000005
1532365200,7749.27002
1532368800,7798.589840000001
1532372400,7796.5498
1532376000,7768.31006
1532379600,7754.97998
1532383200,7767.47998
1532386800,7726.0
1532390400,7730.0297900000005
1532394000,7764.910159999999
1532397600,7769.3501
1532401200,7784.839840000001
1532404800,7863.93994
1532408400,8018.81006
1532412000,8002.160159999999
1532415600,8030.02002
1532419200,8021.6499
1532422800,8027.839840000001
1532426400,8132.41992
1532430000,8253.54004
1532433600,8349.66016
1532437200,8256.37012
1532440800,8251.63965
1532444400,8208.2998
1532448000,8194.37012
1532451600,8277.80957
1532455200,8268.530270000001
1532458800,8300.4502
1532462400,8258.01953
1532466000,8257.98047
1532469600,8331.59961
1532473200,8485.70996
